Making Small Talk - Younger,https://slp.everydayspeech.com/video/making-small-talk-younger,2m 7s,"SOCIAL SKILLS IN ACTION (SSIA) - Alessandra comes up to Chris in the hall and wants to talk. When she gets there, she realizes she has nothing to talk about! Chris is confused: did Alessandra want to talk or not? Alessandra learns how to make small talk - a quick, polite conversation. There are always things you can ask people about - how their day is going or what they are doing next weekend. Alessandra tries again and makes small talk with Chris.",The Two W's
Staying on Topic,https://slp.everydayspeech.com/video/staying-on-topic,1m 51s,"VIDEO MODELING - In a conversation, we stay on topic. The topic is the subject that we’re talking about. When we respond, we talk about the same topic. To keep the conversation going, we can make comments or ask questions about that topic. Concepts covered: Stay on Topic",Making Connected Comments
Going to a Birthday Party,https://slp.everydayspeech.com/video/going-to-a-birthday-party,1m 57s,SOCIAL SKILLS IN ACTION (SSIA) - Christine learns the steps of going to a birthday party! She has to know the details of the party such as where and when the party is and determine if she can go. Then she has to RSVP meaning she must tell the celebrant whether or not she can attend the party. Christine must also get the birthday girl a card and present.,Acting Like a Friend
Budgeting My Time,https://slp.everydayspeech.com/video/budgeting-my-time,,In this video learners will be taught time management skills to ensure their success as they gain more independence and aquire more responsibilities.,Executive Functioning
Bingo - How we act in School,https://slp.everydayspeech.com/video/bingo-how-we-act-in-school,19m,"EXTENSION LESSON - In How we Act in School Bingo, we look at 10 different situations and try to figure out what classroom behavior someone is using. If you get 4 in a row, you get bingo! Good luck!",Working with a Group
Taking Responsibility,https://slp.everydayspeech.com/video/taking-responsibility,2m 34s,"SOCIAL SKILLS IN ACTION (SSIA) - When Sarah and Kate ask Mike about a video he saw, Mike gets up and accidentally leaves a mess on the table. When the teacher asks who did it, Mike doesn't say anything because he doesn't want to get in trouble. There ends up being a consequence for the whole class. Mike realizes that no one can solve our problems for us, and he needs to take responsibility for his own actions. He tries again and tells the teacher it was his fault. She tells him to go clean it up and everything ends up being okay.",Accepting a Consequence
Lining Up,https://slp.everydayspeech.com/video/lining-up,,"In this lesson, learners will be taught how to line up. Lining up is a skill that is important when a group of students or class needs to leave the classroom. ",
Feeling Good About Ourselves,https://slp.everydayspeech.com/video/feeling-good-about-ourselves,,"Teacher script: The fastest way to feel good about yourself is to say or do something nice for someone else. Today, we’re learning about how quickly nice words and actions can turn around your own frown.",
How to Get Attention from Others,https://slp.everydayspeech.com/video/how-to-get-attention-from-others-introduction,,"VIDEO MODELING - This video models how to approach others with language instead of touching or hitting. Learners are taught how to first observe a situation, and use people's names to get their attention. They are shown ways to hold others' attention by telling stories, showing objects, or asking questions. Students are taught to wait for the best time to approach others so that the interaction can be successful.",Keeping Hands to Yourself
Understanding Sarcasm,https://slp.everydayspeech.com/video/understanding-sarcasm,1m 55s,"SOCIAL SKILLS IN ACTION (SSIA) - Maddie has a hard time understanding sarcasm. Therefore, she isn’t able to follow conversations and respond. She needs to learn how to tell when people are being sarcastic.",Using Humor & Sarcasm
Making Good Decisions EE,https://slp.everydayspeech.com/video/making-good-decisions-ee,,"TEACHER SCRIPT: Today we’re talking about making good decisions. Before watching, ask your group about their easy decisions, then some difficult decisions they’ve made.",Solving a Problem
Showing Respect to Teachers,https://slp.everydayspeech.com/video/showing-respect-to-teachers,2m 39s,"VIDEO MODELING - Haley learns how to show respect to teachers. She follows her teacher's directions the first time, listens in class, and only talks when her teacher calls on her.",Showing Respect
Counting Breaths,https://slp.everydayspeech.com/video/counting-breaths,,This video guides students through a deep breathing exercise in which students count their deep breaths five times. This reinforces the importance of taking many breaths to maximize a calming benefit.,Breathing Videos
Washing My Hands,https://slp.everydayspeech.com/video/washing-my-hands,2m 5s,"VIDEO MODELING - When we wash our hands, we make sure to use enough soap, rinse our hands under water, and dry our hands thoroughly. Looking for more information on washing your hands? See the CDC guidance here: https://www.cdc.gov/handwashing/show-me-the-science.html",Improving Your Hygiene
Developing Positive Self-Esteem UE,https://slp.everydayspeech.com/video/developing-positive-self-esteem-ue,,TEACHER SCRIPT: Today’s lesson focuses on developing positive self-esteem. Who can tell me what positive self-esteem means?,Thinking Positive
Being Quiet When the Teacher is Talking,https://slp.everydayspeech.com/video/being-quiet-when-the-teacher-is-talking,,VIDEO MODELING - Jack knows the answer to some questions but holds back. He doesn't yell out loud because that will disrupt the class.,Staying Quiet in Class
Setting Goals UE,https://slp.everydayspeech.com/video/setting-goals-ue,,TEACHER SCRIPT: Today we are going to talk about how we set and accomplish goals. How can setting a goal for yourself help you accomplish it faster?,Solving a Problem
Being a Social Chameleon in a Group,https://slp.everydayspeech.com/video/being-a-social-chameleon-in-a-group,,"Being a Social Chameleon in a group means we think ahead to predict what the group needs from us. We are prepared with correct materials, clothes, actions, and attitude since the group counts on us to be a good, contributing member. ",Being a Social Chameleon
Body Scan,https://slp.everydayspeech.com/video/body-scan,,"Students conduct a 2-minute, guided body scan to release tension in various parts of their bodies. ",Meditation Videos
Tone of Voice - Angry,https://slp.everydayspeech.com/video/tone-of-voice-angry,1m 30s,"VIDEO MODELING - When we are angry, we change the way our voice sounds when we talk. Our voice has a lower pitch. We talk much louder than usual.",Tone of Voice
Breaking Up,https://slp.everydayspeech.com/video/breaking-up,,"In this lesson, learners wil be taught how to end a relationship and break up respectfully. ",
Maintaining Eye Contact,https://slp.everydayspeech.com/video/maintaining-eye-contact,1m 15s,"VIDEO MODELING - When someone asks us a question, we look at their face. We look at them with our eyes when we answer them. We keep our eyes on them for the whole conversation.",Making Eye Contact
Active Listening,https://slp.everydayspeech.com/video/active-listening,1m 9s,"VIDEO MODELING - When we talk to people, we use our whole body to listen. We listen with our eyes. We listen by keeping our body facing them. We listen by keeping the rest of our body quiet.",Active Listening
Be a Team Player,https://slp.everydayspeech.com/video/be-a-team-player,,TEACHER SCRIPT: Today we’re going to learn how to be a team player. What are some situations at school where you might need to be a team player?,Working with a Group
Sharing,https://slp.everydayspeech.com/video/sharing,1m 20s,"SOCIAL SKILLS IN ACTION (SSIA) - Christine and Bobby were given time to use the iPad together, but Christine is having so much fun playing with the iPad that she isn't giving Bobby a chance to play. Bobby gets upset. When Christine realizes that Bobby is upset, she thinks about what's fair.",Playing with Others
Answering Questions in Class,https://slp.everydayspeech.com/video/answering-questions-in-class,3m 5s,"SOCIAL SKILLS IN ACTION (SSIA) - Devin learns a few different rules about answering questions in class. He learns that we should only speak when we're called on, even when we know the answer. He also learns an appropriate voice volume for when he responds and how to answer the question the teacher asked by not saying too much!",Staying Quiet in Class
Handling Embarrassment,https://slp.everydayspeech.com/video/handling-embarrassment-2,3m 22s,"VIDEO MODELING - When we feel embarrassed, it doesn’t feel good. But we stay calm, and we don’t get upset. We think positive thoughts to try and feel better.",Changing the Channel on Feelings
Being a Volunteer,https://slp.everydayspeech.com/video/being-a-volunteer,,In this video learners will be taught how to seek volunteer opportunities in their community and they will learn about how volunteering can increase their confidence and self-esteem.,Building Confidence
Sarcasm Introduction,https://slp.everydayspeech.com/video/sarcasm-introduction,,"Decode sarcasm by tuning into others' tone of voice, the situation, and the mood of the person. ",Using Humor & Sarcasm
Background Brief Introduction,https://slp.everydayspeech.com/video/background-brief-introduction,,"VIDEO MODELING - The Background Brief teaches how to tell a complete narrative or story when talking to friends. We include the ""when, who, what, and where"" in that order, otherwise people may be confused because we didn't give them enough information to understand us.",Background Brief
Advocating in the Classroom,https://slp.everydayspeech.com/video/advocating-in-the-classroom-543,,"After using our Self-Controller Scanner to know we're uncomfortable, we learn that advocating for ourselves is an important strategy that helps us get what we need in order to stay balanced and calm. ",
Keeping Personal Space,https://slp.everydayspeech.com/video/keeping-personal-space-2,1m 16s,"VIDEO MODELING - When we talk to someone, we look and see where their body is. We want to be close but not too close. We respect the bubble of space around them. This is their personal space.",Keeping Personal Space
Preparing to Return to School,https://slp.everydayspeech.com/video/preparing-to-return-to-school,,"Prepare learners to become students again, no matter what school looks like right now. Be sure to have discussions afterwards about how the changes make them feel.",Covid-19
Background Brief I,https://slp.everydayspeech.com/video/background-brief-i,9m 43s,"EXTENSION LESSON - When we tell someone a story, we need to give them all the background information to make sure they know what we're talking about. In this activity, we'll watch three different stories and try to determine what background information is missing. Did the characters give the entire background brief?",Background Brief
Guess What Happens Next - Tone of Voice,https://slp.everydayspeech.com/video/guess-what-happens-next-tone-of-voice,14m,"EXTENSION LESSON - In this game, players try to guess what happens next based on the tone of voice of the characters. Do their words match the message their voice is sending?",Tone of Voice
Standing Up to Bullying,https://slp.everydayspeech.com/video/standing-up-to-bullying,,TEACHER SCRIPT: What do you think the word bystander means? What do you think the word upstander means? After watching the video talk about the behaviors of both.,Handling Teasing/Bullying
Cyber Skills - Misinterpreted Text Message,https://slp.everydayspeech.com/video/cyber-skills-misinterpreted-text-message,,"SOCIAL SKILLS IN ACTION (SSIA) - Cyber Skills are the skills we use to communicate with others online. Without the clues from facial expressions, the tone of voice, and body language, it can be difficult to know how someone is feeling when they send us text messages. This lesson focuses on what to do when you misinterpret a text message.",Cyber Skills
Caring About Others,https://slp.everydayspeech.com/video/caring-about-others,,Teacher script: When we learn to care about others we think about how they are feeling. This is how we learn to be fair.,
Oversharing,https://slp.everydayspeech.com/video/oversharing,3m 44s,SOCIAL SKILLS IN ACTION (SSIA) - Oversharing means telling someone too many details about something they don't need to know about. We should think about our relationship with that person. Are we close enough to tell them the details? Is it something they need to hear?,Think It or Say It
Social Chameleon,https://slp.everydayspeech.com/video/social-chameleon-3,,TEACHER SCRIPT: Today we are going to explore the concept of a Social Chameleon who uses perspective-taking skills. Why do you think being able to take someone else’s perspective is an important skill to learn?,Being a Social Chameleon (Adapting to New Places)
Asking a Friend to Play Introduction,https://slp.everydayspeech.com/video/asking-a-friend-to-play,,When we want to ask someone to play we get near them. We look at them and greet them. We ask them to play with us.,Asking Others to Play
Guess What Happens Next - Compromising,https://slp.everydayspeech.com/video/guess-what-happens-next-compromising,,"Students guess how characters will react in four different situations when they do and don't compromise. Compromising helps us know what to say to keep everyone happy, and how often we should expect to get our own way.",Compromising
Connected Play,https://slp.everydayspeech.com/video/connected-play,,"Teacher script: When we play together, we connect our playing to someone else's playing so we are playing the same thing. We share ideas and pretend the same things. Pretending together is about agreeing together. ",
Listening,https://slp.everydayspeech.com/video/listening-957,,Teacher script: Today we’re learning about how to show we’re listening with our bodies. It’s important that we always try our best to pay attention and listen in class.,
Handling Upset Customers,https://slp.everydayspeech.com/video/handling-upset-customers,,"In this video, students will learn a variety of tips and strategies they can use when handling upset customers at work. ",Professional Skills
Greetings,https://slp.everydayspeech.com/video/greetings,,Greetings are the first and an important step in having a conversation! Allow your learners to watch models of geeting others and see why they are so important.,
